Group,Excellent ratio,Good ratio,Pass ratio,Fail ratio
0,0.2,0.46,0.2,0.14
1,0.16,0.26,0.5,0.08
2,0.24,0.42,0.34,0.0
3,0.22,0.3,0.4,0.08
4,0.2,0.5,0.28,0.02
5,0.14,0.34,0.4,0.12
6,0.14,0.58,0.22,0.06
7,0.24,0.22,0.42,0.12
8,0.04,0.02,0.86,0.08
9,0.1,0.22,0.46,0.22
10,0.0,0.22,0.52,0.26
11,0.12,0.14,0.58,0.16
12,0.04,0.32,0.62,0.02
13,0.08,0.36,0.4,0.16
14,0.14,0.32,0.36,0.18
15,0.2,0.14,0.5,0.16
16,0.14,0.24,0.54,0.08
17,0.08,0.28,0.54,0.1
18,0.1,0.22,0.66,0.02
19,0.1,0.22,0.54,0.14
20,0.16,0.52,0.28,0.04
21,0.18,0.34,0.4,0.08
22,0.28,0.32,0.28,0.12
23,0.12,0.3,0.5,0.08
24,0.16,0.6,0.18,0.06
25,0.08,0.3,0.5,0.12
26,0.24,0.24,0.42,0.1
27,0.04,0.24,0.54,0.18
28,0.22,0.26,0.34,0.18
29,0.06,0.3,0.5,0.14
30,0.2,0.2,0.54,0.06
31,0.22,0.3,0.36,0.12
32,0.0,0.02,0.96,0.02
33,0.16,0.2,0.54,0.1
34,0.04,0.04,0.92,0.0
35,0.12,0.28,0.5,0.1
36,0.24,0.3,0.46,0.0
37,0.12,0.24,0.56,0.08
38,0.14,0.26,0.52,0.08
39,0.14,0.4,0.34,0.12
40,0.44,0.24,0.24,0.08
41,0.22,0.1,0.48,0.2
42,0.08,0.36,0.54,0.02
43,0.1,0.26,0.52,0.12
44,0.04,0.2,0.5,0.26
45,0.18,0.3,0.46,0.06
46,0.06,0.08,0.84,0.02
47,0.24,0.16,0.42,0.18
48,0.02,0.28,0.52,0.18
49,0.14,0.28,0.42,0.16
50,0.0,0.04,0.96,0.0
51,0.2,0.36,0.28,0.16
52,0.0,0.04,0.96,0.0
53,0.3,0.18,0.32,0.2
54,0.16,0.1,0.7,0.04
55,0.16,0.32,0.42,0.1
56,0.0,0.02,0.98,0.0
57,0.3,0.24,0.4,0.06
58,0.0,0.0,1.0,0.0
59,0.1,0.32,0.46,0.12
60,0.02,0.06,0.9,0.02
61,0.22,0.14,0.52,0.12
62,0.14,0.2,0.44,0.22
63,0.1,0.32,0.54,0.04
64,0.14,0.3,0.38,0.18
65,0.18,0.3,0.32,0.2
66,0.14,0.36,0.36,0.14
67,0.18,0.24,0.46,0.12
68,0.18,0.28,0.4,0.14
69,0.34,0.2,0.38,0.08
70,0.12,0.4,0.04,0.44
71,0.12,0.34,0.48,0.06
72,0.44,0.28,0.24,0.04
73,0.12,0.22,0.5,0.16
74,0.14,0.32,0.42,0.12
75,0.12,0.42,0.4,0.06
76,0.1,0.26,0.26,0.38
77,0.08,0.22,0.48,0.22
78,0.06,0.22,0.56,0.16
79,0.2,0.36,0.38,0.06
80,0.14,0.28,0.22,0.36
81,0.08,0.24,0.6,0.08
82,0.18,0.16,0.34,0.32
83,0.14,0.32,0.34,0.2
84,0.1,0.38,0.38,0.14
85,0.18,0.28,0.48,0.06
86,0.28,0.4,0.3,0.02
87,0.14,0.16,0.52,0.18
88,0.24,0.4,0.24,0.12
89,0.28,0.2,0.46,0.06
90,0.18,0.26,0.44,0.12
91,0.2,0.24,0.48,0.08
92,0.3,0.24,0.22,0.24
93,0.26,0.26,0.4,0.08
94,0.26,0.24,0.44,0.06
95,0.2,0.32,0.38,0.1
96,0.14,0.54,0.18,0.14
97,0.14,0.26,0.44,0.16
98,0.22,0.12,0.54,0.12
99,0.22,0.22,0.48,0.08
100,0.16,0.26,0.52,0.06
101,0.18,0.2,0.5,0.12
102,0.06,0.46,0.32,0.16
103,0.14,0.3,0.46,0.1
104,0.08,0.26,0.4,0.26
105,0.12,0.34,0.44,0.1
106,0.02,0.22,0.76,0.0
107,0.16,0.28,0.38,0.18
108,0.16,0.26,0.46,0.12
109,0.22,0.26,0.42,0.1
110,0.06,0.24,0.52,0.18
111,0.12,0.3,0.52,0.06
112,0.28,0.38,0.26,0.08
113,0.3,0.2,0.38,0.12
114,0.24,0.48,0.08,0.2
115,0.2,0.18,0.52,0.1
116,0.0,0.0,0.92,0.08
117,0.18,0.3,0.36,0.16
118,0.0,0.0,1.0,0.0
119,0.18,0.3,0.32,0.2
