iter	MultiClass
0	1.381563387
1	1.376903918
2	1.372524417
3	1.368308684
4	1.364260391
5	1.360444035
6	1.356387992
7	1.352355123
8	1.348353554
9	1.345243215
10	1.341664124
11	1.338313779
12	1.33466288
13	1.33130888
14	1.327691303
15	1.324077589
16	1.320922381
17	1.317417486
18	1.314159274
19	1.310999814
20	1.30774241
21	1.304851455
22	1.301840839
23	1.299010442
24	1.296045097
25	1.293443176
26	1.290782262
27	1.288133714
28	1.285368596
29	1.282788039
30	1.28003793
31	1.277506557
32	1.274984679
33	1.272451958
34	1.269997389
35	1.26766846
36	1.265620408
37	1.263598593
38	1.261668156
39	1.259588618
40	1.257261279
41	1.255483573
42	1.253529515
43	1.251387246
44	1.24950071
45	1.247753473
46	1.245766735
47	1.243964588
48	1.241960114
49	1.240189302
50	1.23810197
51	1.236420317
52	1.234548657
53	1.232720796
54	1.231223191
55	1.229428929
56	1.227543474
57	1.225664581
58	1.224176049
59	1.222579356
60	1.221294759
61	1.219923412
62	1.218448951
63	1.216729646
64	1.215084121
65	1.21370813
66	1.212332671
67	1.210897845
68	1.209419563
69	1.207991245
70	1.206514743
71	1.205228251
72	1.203938071
73	1.202623044
74	1.201231525
75	1.20019158
76	1.198825765
77	1.197511654
78	1.196149121
79	1.19479478
80	1.193917712
81	1.192751151
82	1.19165237
83	1.19046368
84	1.189443249
85	1.188448264
86	1.187314944
87	1.186253896
88	1.185134964
89	1.183953716
90	1.182947014
91	1.181948352
92	1.180898876
93	1.179807792
94	1.178882703
95	1.177808665
96	1.176999006
97	1.17595201
98	1.174944184
99	1.173910591
100	1.172874319
101	1.171960615
102	1.170880042
103	1.170035677
104	1.169120086
105	1.168385663
106	1.167652891
107	1.166722291
108	1.166038005
109	1.16516405
110	1.164551237
111	1.163616729
112	1.162803221
113	1.161904004
114	1.161139461
115	1.160482048
116	1.159708214
117	1.159042711
118	1.158315335
119	1.157523497
120	1.156922413
121	1.156102153
122	1.155326636
123	1.154584289
124	1.153707337
125	1.152937323
126	1.152494471
127	1.151761299
128	1.15111992
129	1.150485153
130	1.149829086
131	1.149260299
132	1.148583301
133	1.148029214
134	1.147445619
135	1.146877986
136	1.146304462
137	1.145611772
138	1.145153065
139	1.144503583
140	1.143841783
141	1.14331745
142	1.142695218
143	1.141931399
144	1.141191174
145	1.140590251
146	1.140026157
147	1.139419732
148	1.138965683
149	1.138352167
150	1.137748937
151	1.137223564
152	1.136609033
153	1.136097515
154	1.135631069
155	1.13503621
156	1.134479559
157	1.133957515
158	1.133523249
159	1.133070904
160	1.13271983
161	1.132183373
162	1.131792062
163	1.131234472
164	1.130862207
165	1.130348328
166	1.129943649
167	1.129551564
168	1.129056465
169	1.128619076
170	1.128126078
171	1.127865305
172	1.127437692
173	1.127021502
174	1.126655658
175	1.126251296
176	1.125824251
177	1.125352645
178	1.124931867
179	1.124569394
180	1.124173754
181	1.123725599
182	1.123208535
183	1.123080445
184	1.122682277
185	1.122229044
186	1.12180829
187	1.121379273
188	1.120880765
189	1.120469809
190	1.120096926
191	1.119657436
192	1.119438525
193	1.119020451
194	1.118755726
195	1.118391965
196	1.118003088
197	1.117571652
198	1.117263853
199	1.116925445
200	1.116744982
201	1.11631559
202	1.115972652
203	1.11566397
204	1.115321132
205	1.114998247
206	1.114625362
207	1.114374001
208	1.114093389
209	1.113829085
210	1.113609637
211	1.113307288
212	1.113073237
213	1.112643452
214	1.112332371
215	1.112081942
216	1.111784971
217	1.111605184
218	1.111418615
219	1.111233214
220	1.110991116
221	1.110689544
222	1.110327421
223	1.10993915
224	1.109702399
225	1.109431938
226	1.109145458
227	1.108909116
228	1.108572468
229	1.108369961
230	1.108138324
231	1.107739787
232	1.107515015
233	1.107171313
234	1.107007579
235	1.106782617
236	1.106473804
237	1.106286778
238	1.106014937
239	1.105796221
240	1.105667213
241	1.10556562
242	1.105200854
243	1.104897477
244	1.104684353
245	1.104437495
246	1.104236891
247	1.1039441
248	1.103764117
249	1.103513977
250	1.10334611
251	1.10316758
252	1.102871806
253	1.10271875
254	1.102539512
255	1.102364514
256	1.102170478
257	1.102063823
258	1.101792496
259	1.101657815
260	1.101530657
261	1.101391729
262	1.101226191
263	1.100956921
264	1.100755455
265	1.100565143
266	1.100414621
267	1.100243795
268	1.100018269
269	1.099926229
270	1.099829097
271	1.099656917
272	1.099506491
273	1.099242591
274	1.099126921
275	1.098899873
276	1.098694676
277	1.098470396
278	1.098250568
279	1.097985566
280	1.097747404
281	1.097623597
282	1.097432508
283	1.097190634
284	1.096942888
285	1.096779312
286	1.096563934
287	1.09641944
288	1.096184185
289	1.095988862
290	1.095773615
291	1.095608831
292	1.095418754
293	1.095211441
294	1.095104667
295	1.094946833
296	1.094681568
297	1.094499738
298	1.094283353
299	1.094128089
300	1.094022051
301	1.093901858
302	1.093646683
303	1.093334783
304	1.093147692
305	1.093033631
306	1.092922186
307	1.092741191
308	1.092548658
309	1.092370149
310	1.092223077
311	1.09205414
312	1.091888023
313	1.091705803
314	1.091643024
315	1.091460796
316	1.091255143
317	1.091049939
318	1.090920821
319	1.090786411
320	1.090680487
321	1.090490643
322	1.090425536
323	1.090349795
324	1.090111922
325	1.090028081
326	1.089890539
327	1.089671879
328	1.089512586
329	1.089388362
330	1.089164314
331	1.088970693
332	1.088901697
333	1.088810256
334	1.088743289
335	1.088583213
336	1.088468844
337	1.088281835
338	1.088152175
339	1.087993267
340	1.087853904
341	1.087736137
342	1.087617495
343	1.087455678
344	1.087329074
345	1.087134803
346	1.087004866
347	1.086898464
