iter	Passed	Remaining
0	12	9654
1	20	8374
2	29	7858
3	39	7827
4	49	7934
5	59	7938
6	70	7956
7	78	7813
8	88	7784
9	96	7647
10	130	9361
11	168	11087
12	188	11419
13	223	12546
14	257	13470
15	285	13993
16	301	13873
17	315	13721
18	335	13776
19	352	13739
20	373	13842
21	390	13811
22	406	13730
23	423	13698
24	442	13729
25	456	13591
26	467	13394
27	477	13166
28	487	12960
29	498	12783
30	506	12561
31	517	12427
32	530	12330
33	538	12139
34	548	11979
35	558	11846
36	566	11688
37	576	11568
38	587	11470
39	597	11361
40	607	11247
41	615	11117
42	628	11057
43	638	10976
44	646	10853
45	658	10785
46	668	10708
47	677	10609
48	687	10544
49	696	10444
50	705	10361
51	713	10266
52	724	10207
53	732	10126
54	741	10047
55	754	10020
56	762	9938
57	771	9875
58	781	9816
59	790	9750
60	800	9696
61	810	9648
62	822	9621
63	832	9573
64	840	9506
65	852	9481
66	862	9436
67	870	9370
68	885	9381
69	895	9336
70	903	9280
71	914	9246
72	922	9189
73	933	9160
74	943	9119
75	951	9067
76	961	9025
77	969	8973
78	981	8954
79	992	8930
80	1000	8880
81	1011	8857
82	1019	8807
83	1029	8773
84	1037	8730
85	1047	8694
86	1057	8665
87	1068	8647
88	1079	8624
89	1091	8609
90	1101	8584
91	1118	8609
92	1130	8593
93	1140	8567
94	1150	8541
95	1159	8502
96	1170	8486
97	1180	8458
98	1191	8438
99	1203	8421
100	1220	8444
101	1229	8411
102	1239	8390
103	1250	8365
104	1258	8331
105	1270	8318
106	1279	8287
107	1289	8263
108	1300	8245
109	1308	8210
110	1318	8182
111	1328	8158
112	1336	8126
113	1346	8104
114	1356	8080
115	1368	8066
116	1377	8042
117	1387	8019
118	1399	8007
119	1408	7979
120	1416	7949
121	1428	7936
122	1436	7907
123	1446	7886
124	1455	7859
125	1465	7837
126	1474	7812
127	1485	7799
128	1496	7786
129	1506	7764
130	1514	7735
131	1525	7720
132	1533	7691
133	1542	7668
134	1554	7657
135	1562	7631
136	1572	7610
137	1582	7591
138	1594	7581
139	1604	7562
140	1612	7535
141	1624	7527
142	1635	7512
143	1643	7489
144	1656	7482
145	1665	7461
146	1673	7435
147	1685	7424
148	1693	7399
149	1703	7382
150	1712	7360
151	1723	7346
152	1736	7343
153	1746	7326
154	1755	7303
155	1763	7281
156	1772	7258
157	1784	7250
158	1794	7233
159	1802	7209
160	1813	7198
161	1822	7176
162	1832	7161
163	1841	7142
164	1850	7120
165	1860	7104
166	1868	7081
167	1879	7071
168	1888	7049
169	1896	7029
170	1906	7013
171	1912	6982
172	1923	6970
173	1931	6949
174	1943	6939
175	1951	6919
176	1961	6902
177	1970	6886
178	1979	6867
179	1989	6851
180	1997	6830
181	2007	6817
182	2016	6797
183	2025	6779
184	2033	6761
185	2042	6743
186	2053	6730
187	2061	6711
188	2073	6704
189	2088	6704
190	2097	6688
191	2108	6675
192	2119	6666
193	2128	6647
194	2139	6637
195	2151	6630
196	2163	6622
197	2172	6604
198	2182	6591
199	2190	6571
200	2201	6561
201	2212	6549
202	2220	6530
203	2231	6519
204	2239	6500
205	2248	6484
206	2261	6479
207	2272	6469
208	2286	6464
209	2299	6460
210	2308	6444
211	2318	6431
212	2333	6429
213	2343	6417
214	2352	6401
215	2364	6393
216	2375	6381
217	2391	6384
218	2405	6380
219	2416	6369
220	2431	6369
221	2442	6359
222	2459	6364
223	2472	6357
224	2482	6342
225	2495	6337
226	2505	6324
227	2520	6322
228	2534	6320
229	2544	6304
230	2556	6298
231	2567	6286
232	2577	6273
233	2591	6269
234	2605	6263
235	2615	6251
236	2633	6255
237	2650	6259
238	2661	6247
239	2676	6244
240	2687	6233
241	2697	6219
242	2706	6202
243	2719	6197
244	2733	6191
245	2743	6178
246	2754	6168
247	2766	6156
248	2777	6146
249	2790	6140
250	2803	6131
251	2815	6123
252	2829	6117
253	2843	6111
254	2851	6094
255	2862	6083
256	2872	6069
257	2880	6051
258	2891	6039
259	2899	6021
260	2911	6011
261	2919	5995
262	2927	5977
263	2941	5971
264	2954	5964
265	2962	5947
266	2973	5935
267	2981	5918
268	2991	5904
269	3000	5890
270	3012	5880
271	3023	5868
272	3037	5864
273	3047	5849
274	3055	5833
275	3068	5825
276	3076	5808
277	3086	5795
278	3101	5792
279	3110	5775
280	3120	5762
281	3131	5752
282	3141	5738
283	3150	5724
284	3160	5711
285	3170	5698
286	3180	5685
287	3191	5673
288	3201	5661
289	3212	5649
290	3220	5633
291	3232	5623
292	3242	5611
293	3250	5595
294	3261	5582
295	3270	5568
296	3279	5554
297	3290	5543
298	3299	5528
299	3308	5514
300	3317	5499
301	3329	5490
302	3339	5478
303	3348	5463
304	3358	5451
305	3367	5436
306	3376	5421
307	3387	5411
308	3397	5399
309	3407	5386
310	3416	5371
311	3426	5360
312	3436	5347
313	3445	5332
314	3457	5323
315	3466	5309
316	3475	5295
317	3487	5286
318	3510	5293
319	3529	5294
320	3545	5290
321	3560	5284
322	3570	5272
323	3579	5258
324	3587	5243
325	3597	5231
326	3606	5216
327	3617	5205
328	3626	5192
329	3635	5178
330	3646	5167
331	3655	5152
332	3665	5140
333	3673	5125
334	3687	5119
335	3717	5133
336	3740	5138
337	3749	5124
338	3760	5113
339	3768	5098
340	3797	5111
341	3824	5121
342	3845	5124
343	3861	5118
344	3881	5119
345	3908	5128
346	3924	5123
347	3939	5116
